#Batch costTraining precTraining
940 0.45060107 0.9367992
941 0.44070366 0.9367536
942 0.474336 0.93670815
943 0.24431658 0.9367946
944 0.50067866 0.936768
945 0.3052465 0.93685395
946 0.5287387 0.9367713
947 0.32752636 0.93681955
948 0.410172 0.93681175
949 0.35361487 0.9368226
950 0.3622054 0.9368333
951 0.18666735 0.93693644
952 0.70725745 0.936781
953 0.42067903 0.93681014
954 0.33181176 0.9368576
955 0.50133497 0.9368315
956 0.3475762 0.9368787
957 0.37764964 0.9369256
958 0.44769084 0.93689954
959 0.38012883 0.9368918
960 0.6273273 0.93681157
961 0.27865186 0.9368944
962 0.2672059 0.9369769
963 0.3846588 0.93702304
964 0.30750427 0.9371049
965 0.32250002 0.9371147
966 0.47427195 0.9370708
967 0.35714588 0.9370985
968 0.43437442 0.93709046
969 0.35861123 0.93713576
970 0.31827912 0.9371809
971 0.5406376 0.937155
972 0.33399877 0.9371822
973 0.62389004 0.93710357
974 0.4846072 0.93709564
975 0.39116356 0.93710524
976 0.37737373 0.93711483
977 0.37113294 0.9371244
978 0.21294591 0.9371862
979 0.4371416 0.9371433
980 0.29960006 0.9371875
981 0.28277975 0.9372661
982 0.28599256 0.9373098
983 0.5476439 0.93728435
984 0.45507902 0.9372762
985 0.28634816 0.9373196
986 0.4739001 0.93729424
987 0.48151174 0.93723476
988 0.51456 0.9371756
989 0.3817486 0.9372018
990 0.4210123 0.93721086
991 0.4603948 0.937203
992 0.39643422 0.9371951
993 0.28670305 0.9372549
994 0.23653586 0.93731445
995 0.57181776 0.9372559
996 0.4666023 0.9372648
997 0.43310755 0.9372736
998 0.58425176 0.93723226
999 0.31694272 0.93729126
1000 0.2754151 0.93733335
1001 0.43550012 0.94166666
1002 0.2703678 0.95
1003 0.28058013 0.9527778
