#Batch costTraining precTraining
766 0.057179008 0.9705827
767 0.034293238 0.97059923
768 0.027723975 0.9706157
769 0.035626344 0.97066295
770 0.051082 0.97064817
771 0.07561881 0.97063345
772 0.046592172 0.97061884
773 0.024692949 0.970696
774 0.031465746 0.9707117
775 0.019318366 0.9707576
776 0.0393392 0.9707729
777 0.043241713 0.9707882
778 0.07437334 0.97071344
779 0.025647163 0.9707587
780 0.04681503 0.9707441
781 0.018101675 0.9708185
782 0.022230374 0.97086287
783 0.043594647 0.9708775
784 0.036938444 0.970892
785 0.026487298 0.97093564
786 0.015283204 0.9710082
787 0.036098916 0.97102207
788 0.031760376 0.9710359
789 0.024179928 0.9710496
790 0.015388688 0.9711207
791 0.033314947 0.971134
792 0.035003226 0.9711758
793 0.0040793787 0.9712742
794 0.047565818 0.9712585
795 0.0065742084 0.97132766
796 0.05631195 0.9713119
797 0.022108644 0.9713524
798 0.01897579 0.97139263
799 0.024518812 0.9714604
800 0.017547727 0.9715
801 0.058569107 0.97148395
802 0.04477239 0.971468
803 0.050852828 0.97147965
804 0.0059751826 0.9715735
805 0.026672946 0.9715847
806 0.038944114 0.9715959
807 0.03842584 0.9716341
808 0.029164767 0.97167206
809 0.042648114 0.97168285
810 0.07468363 0.97158605
811 0.047845926 0.971597
812 0.05482324 0.97155446
813 0.037585776 0.9715921
814 0.030373493 0.9716295
815 0.04053838 0.97161376
816 0.029810833 0.9716245
817 0.049124498 0.97158253
818 0.039707486 0.9716195
819 0.020142796 0.97168237
820 0.041312892 0.9716667
821 0.06263163 0.9716511
822 0.023164485 0.9716874
823 0.06084994 0.9716202
824 0.04475499 0.97160494
825 0.038441222 0.971641
826 0.046409216 0.97162575
827 0.042425696 0.9716106
828 0.019827936 0.97164637
829 0.0664691 0.9716059
830 0.060350697 0.97156566
831 0.026439114 0.97157604
832 0.022253012 0.97161144
833 0.063870296 0.97154653
834 0.0282318 0.9716068
835 0.046439394 0.97159207
836 0.05206527 0.9715774
837 0.0147043355 0.971637
838 0.070683785 0.9715976
839 0.052109454 0.97158307
840 0.025808632 0.97161764
841 0.052317724 0.9716276
842 0.037658837 0.9716618
843 0.015189477 0.9717201
844 0.053653076 0.97170544
845 0.016249906 0.9717633
846 0.032456923 0.97179675
847 0.025140768 0.97182995
848 0.043100618 0.9718391
849 0.097649455 0.97175264
850 0.05404913 0.9717619
851 0.061718702 0.9717474
852 0.048874248 0.97170925
853 0.04070829 0.971695
854 0.05411272 0.9716808
855 0.0419038 0.9716901
856 0.0588263 0.9716994
857 0.03950125 0.97170866
858 0.04927231 0.9717179
859 0.033947937 0.97175026
860 0.06401386 0.97171295
861 0.030134713 0.97174513
862 0.041729163 0.9717311
863 0.01887562 0.971786
864 0.040211856 0.97179484
865 0.048311934 0.97178084
866 0.050747514 0.9717668
867 0.06030012 0.97175294
868 0.023384836 0.9717844
869 0.05380447 0.9717705
870 0.04148473 0.9717793
871 0.0573045 0.9717655
872 0.020271694 0.971819
873 0.056012888 0.97180516
874 0.042513784 0.97179145
875 0.050574653 0.9718
876 0.025659567 0.97183067
877 0.06565995 0.97179484
878 0.06156648 0.9717813
879 0.04813299 0.9717898
880 0.022215907 0.9718421
881 0.045005392 0.9717848
882 0.01881964 0.971815
883 0.046202205 0.97182333
884 0.0067052497 0.971875
885 0.01613067 0.9719264
886 0.025701262 0.97197753
